CD_BAIRRO,Cidade,bairro,responsaveis,moradores,renda_media_2022,renda_mediana_2022
3538709019,Piracicaba,Unileste,51,150,17049.62,12500.0
3538709042,Piracicaba,Morato,1204,3655,14384.62,11000.0
3538709020,Piracicaba,Monte Alegre,280,828,12007.46,4500.0
3538709056,Piracicaba,Santa Rosa,2135,6443,8287.93,3500.0
3538709003,Piracicaba,Cidade Jardim,685,1382,8248.31,5200.0
3538709045,Piracicaba,Nova Piracicaba,2819,7708,8008.18,5000.0
3538709001,Piracicaba,Centro,5602,12025,7281.06,4500.0
3538709006,Piracicaba,Jardim Elite,2349,5386,7081.17,5000.0
3538709013,Piracicaba,São Dimas,1688,3757,6809.11,4000.0
3538709012,Piracicaba,São Judas,1458,3275,6608.51,4000.0
3538709024,Piracicaba,Taquaral,535,1535,6546.64,4000.0
3538709016,Piracicaba,Jardim Abaeté,689,1699,6404.5,3900.0
3538709002,Piracicaba,Cidade Alta,5699,12567,5896.4,3600.0
3538709015,Piracicaba,Santa Cecília,1508,3817,5737.33,4000.0
3538709011,Piracicaba,Vila Independência,2669,6216,5420.52,3000.0
3538709007,Piracicaba,Nova América,3051,7264,5354.9,3600.0
3538709062,Piracicaba,Ondinhas,116,314,5228.89,3000.0
3538709061,Piracicaba,Ondas,2359,5913,5212.63,3000.0
3538709037,Piracicaba,Castelinho,1203,3181,5190.04,4000.0
3538709018,Piracicaba,Dois Córregos,4329,11011,5104.52,3500.0
3538709004,Piracicaba,Clube de Campo,157,263,4991.69,2525.0
3538709010,Piracicaba,Vila Monteiro,2918,7047,4968.88,3500.0
3538709005,Piracicaba,Higienópolis,848,1832,4364.37,3000.0
3538709043,Piracicaba,Glebas Califórnia,1838,4247,4352.32,3001.0
3538709017,Piracicaba,Morumbi,3693,9511,4204.83,3000.0
3538709046,Piracicaba,Jardim Monumento,1550,3957,4094.09,3000.0
3538709068,Piracicaba,Santa Helena,20,59,4082.2,3000.0
3538709022,Piracicaba,Santa Rita,545,1548,4026.84,2500.0
3538709065,Piracicaba,Água das Pedras,126,371,3918.3,2500.0
3538709028,Piracicaba,Jardim Califórnia,1281,3716,3777.87,3000.0
3538709030,Piracicaba,Bairro Verde,773,1927,3750.53,3000.0
3538709009,Piracicaba,Jardim Caxambú,807,2178,3731.25,2950.0
3538709048,Piracicaba,Vila Rezende,2035,4886,3664.45,2680.0
3538709023,Piracicaba,Jardim São Francisco,2107,5985,3630.86,2400.0
3538709051,Piracicaba,Areião,215,533,3621.48,2700.0
3538709027,Piracicaba,Água Branca,9412,27273,3611.44,2700.0
3538709021,Piracicaba,Conceição,322,939,3549.95,2500.0
3538709008,Piracicaba,Piracicamirim,2520,6515,3529.59,2800.0
3538709031,Piracicaba,Paulicéia,4317,11273,3444.73,2500.0
3538709026,Piracicaba,Pompéia,6271,17530,3429.61,2500.0
3538709067,Piracicaba,Dona Antônia,165,471,3341.69,2500.0
3538709029,Piracicaba,Campestre,4317,12298,3339.7,2200.0
3538709047,Piracicaba,Nhô Quim,1729,4407,3287.5,2400.0
3538709052,Piracicaba,Vila Fátima,1247,3422,3156.09,2500.0
3538709055,Piracicaba,Guamium,612,1693,3152.28,2500.0
3538709035,Piracicaba,Paulista,2806,7098,3147.23,2300.0
3538709059,Piracicaba,Vale do Sol,2677,7170,3064.16,2000.0
3538709044,Piracicaba,Jardim Jupiá,1826,4832,3013.11,2500.0
3538709038,Piracicaba,Parque da Rua do Porto,90,227,2845.11,1500.0
3538709036,Piracicaba,Jaraguá,1263,3413,2830.22,2200.0
3538709053,Piracicaba,Vila Industrial,2394,6822,2785.82,2000.0
3538709041,Piracicaba,São Jorge,1815,5567,2747.59,2200.0
3538709066,Piracicaba,Chicó,23,65,2695.74,2400.0
3538709057,Piracicaba,Santa Terezinha,5037,13774,2647.64,2000.0
3538709050,Piracicaba,Jardim Primavera,538,1337,2617.46,2105.0
3538709025,Piracicaba,CECAP,1862,5414,2587.83,2000.0
3538709060,Piracicaba,Parque Residencial Piracicaba,3813,11136,2543.88,2100.0
3538709500,Piracicaba,Itaperu,22,69,2482.63,1600.0
3538709049,Piracicaba,Algodoal,2353,6588,2379.07,2000.0
3538709058,Piracicaba,Vila Sônia,9385,27274,2276.61,2000.0
3538709034,Piracicaba,Vila Cristina,4384,13096,2243.91,1800.0
3538709040,Piracicaba,Jardim Planalto,2339,7044,2228.62,2000.0
3538709033,Piracicaba,Jardim Itapuã,1971,5628,2223.11,1629.5
3538709039,Piracicaba,Novo Horizonte,3984,11838,2035.35,1800.0
3538709054,Piracicaba,Mário Dedini,5031,16529,2021.17,1600.0
3538709032,Piracicaba,Monte Líbano,3848,10933,2015.89,1800.0
3538709069,Piracicaba,Cidade Judiciária,13,42,1670.5,1200.0
