bairro,2000,2010,2022,delta 00 - 10,delta 10 - 22,renda_media_2022,renda_mediana_2022,renda_2000_em_R$2022,renda_2010_em_R$2022,crescimento_nominal_2000_2022_%,crescimento_real_2000_2022_%,crescimento_real_2010_2022_%,gap_media_mediana_2022,media_mediana_ratio_2022
Unileste,1351.70593220339,3195.3809523809523,17049.62,1.363961625271721,4.335708090547367,17049.62,12500.0,5261.590858420079,6533.982732823797,1161.3409169705826,224.03925844434744,160.93763478055058,4549.619999999999,1.3639696
Morato,912.9852362204724,9358.11098901099,14384.62,9.250013491730925,0.5371285953854922,14384.62,11000.0,3553.8460387901273,19135.66379886108,1475.5588841226704,304.7620477362353,-24.828215257125553,3384.620000000001,1.3076927272727275
Monte Alegre,889.6416666666667,5492.046511627907,12007.46,5.173324291571971,1.1863361817088556,12007.46,4500.0,3462.9798901397444,11230.253171567296,1249.6962260085988,246.73779175528082,6.920652781011483,7507.459999999999,2.668324444444444
Santa Rosa,742.0866718027735,2477.126213592233,8287.93,2.338055119052975,2.3457843021979743,8287.93,3500.0,2888.613829006514,5065.280211605646,1016.8412417199035,186.9172028734101,63.622339806800234,4787.93,2.36798
Cidade Jardim,2442.1479357798166,7965.036496350365,8248.31,2.261488126765344,0.03556462092539464,8248.31,5200.0,9506.197278325684,16287.075534666967,237.74817156464286,-13.23228670199904,-49.356715498472944,3048.3099999999995,1.5862134615384615
Nova Piracicaba,2022.2701231060605,6602.290953545233,8008.18,2.2647918189112106,0.2129395775416179,8008.18,5000.0,7871.799434693796,13500.504550294465,295.99952095914944,1.7325208351362198,-40.682365091122975,3008.1800000000003,1.601636
Centro,1773.3736836449602,5179.512560929884,7281.06,1.920711302247368,0.4057423192526872,7281.06,4500.0,6902.956138706263,10591.177121570665,310.5767479888751,5.477419437357178,-31.25353380059209,2781.0600000000004,1.6180133333333335
Jardim Elite,1972.1068059299191,4427.481116584565,7081.17,1.2450513852858232,0.5993676344491191,7081.17,5000.0,7676.535920053617,9053.40727656001,259.0662523301305,-7.7556586232903175,-21.784475350692432,2081.17,1.416234
São Dimas,1545.2934315531002,5300.5756756756755,6809.11,2.430141853607908,0.28459820529437646,6809.11,4000.0,6015.14101501551,10838.729545872831,340.63540690498445,13.199507426384805,-37.17796932581668,2809.1099999999997,1.7022774999999999
São Judas,1638.7769171185128,7745.082840236686,6608.51,3.726136156381179,-0.1467476673499276,6608.51,4000.0,6379.030705328868,15837.309634298383,303.25866998540886,3.5974006909769374,-58.27252132718205,2608.51,1.6521275
